单词等级,单词,词典
A1,afraid,"{""word"": ""afraid"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""Feeling fear or anxiety; frightened."", ""chinese"": ""感到害怕或焦虑的；恐惧的。""}, ""example_sentences"": [{""english"": ""She was afraid of the dark."", ""chinese"": ""她害怕黑暗。""}, {""english"": ""He felt afraid when he saw the big dog."", ""chinese"": ""他看到那只大狗时感到害怕。""}], ""synonyms"": [""scared"", ""frightened""], ""antonyms"": [""brave"", ""fearless""]}]}"
A1,after,"{""word"": ""after"", ""definitions"": [{""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""later than a particular time"", ""chinese"": ""在……之后""}, ""example_sentences"": [{""english"": ""We will eat dinner after 7 o'clock."", ""chinese"": ""我们将在7点之后吃晚饭。""}]}, {""part_of_speech"": ""conjunction"", ""meaning"": {""english"": ""following a particular time"", ""chinese"": ""在……之后""}, ""example_sentences"": [{""english"": ""After you finish your homework, you can play."", ""chinese"": ""你完成作业后，就可以玩了。""}]}, {""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""later"", ""chinese"": ""后来""}, ""example_sentences"": [{""english"": ""I saw him again after a few days."", ""chinese"": ""几天后我又见到了他。""}]}], ""forms"": {}}"
A1,afternoon,"{""word"": ""afternoon"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The time from noon or lunchtime until evening"", ""chinese"": ""下午，午后""}, ""example_sentences"": [{""english"": ""We will meet in the afternoon."", ""chinese"": ""我们下午见面。""}]}], ""forms"": {""noun"": {""singular"": ""afternoon"", ""plural"": ""afternoons""}}}"
A1,again,"{""word"": ""again"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""Once more; another time"", ""chinese"": ""再一次；又一次""}, ""example_sentences"": [{""english"": ""She smiled again."", ""chinese"": ""她又笑了。""}, {""english"": ""Let's try again."", ""chinese"": ""我们再试一次。""}], ""synonyms"": [""once more"", ""another time""], ""antonyms"": [""never"", ""not again""]}], ""forms"": {}}"
A1,age,"{""word"": ""age"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The length of time that a person has lived or a thing has existed."", ""chinese"": ""年龄；寿命""}, ""example_sentences"": [{""english"": ""She is 10 years old."", ""chinese"": ""她10岁了。""}]}, {""part_of_speech"": ""verb"", ""meaning"": {""english"": ""To grow old or cause something to grow old."", ""chinese"": ""变老；使……变老""}, ""example_sentences"": [{""english"": ""Time ages everyone."", ""chinese"": ""时间使人变老。""}]}], ""forms"": {""noun"": {""singular"": ""age"", ""plural"": ""ages""}, ""verb"": {""base_form"": ""age"", ""third_person_singular"": ""ages"", ""past_tense"": ""aged"", ""past_participle"": ""aged"", ""present_participle"": ""aging""}}}"
A1,ago,"{""word"": ""ago"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""in the past"", ""chinese"": ""在过去的""}, ""example_sentences"": [{""english"": ""I saw him a few days ago."", ""chinese"": ""我几天前见过他。""}]}], ""forms"": {}}"
A1,agree,"{""word"": ""agree"", ""definitions"": [{""part_of_speech"": ""verb"", ""meaning"": {""english"": ""To have the same opinion or belief as someone else."", ""chinese"": ""与某人有相同的观点或信念。""}, ""example_sentences"": [{""english"": ""They agree on the plan."", ""chinese"": ""他们同意这个计划。""}], ""synonyms"": [""consent"", ""assent""], ""antonyms"": [""disagree"", ""differ""]}], ""forms"": {""verb"": {""base_form"": ""agree"", ""third_person_singular"": ""agrees"", ""past_tense"": ""agreed"", ""past_participle"": ""agreed"", ""present_participle"": ""agreeing""}}}"
A1,air,"{""word"": ""air"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The invisible mixture of gases that surrounds the Earth and that we breathe."", ""chinese"": ""空气，大气""}, ""example_sentences"": [{""english"": ""We need air to breathe."", ""chinese"": ""我们需要空气来呼吸。""}], ""synonyms"": [""atmosphere"", ""oxygen""]}, {""part_of_speech"": ""verb"", ""meaning"": {""english"": ""To let fresh air into a room by opening a window or door."", ""chinese"": ""通风，换气""}, ""example_sentences"": [{""english"": ""She aired the room by opening the window."", ""chinese"": ""她打开窗户给房间通风。""}]}], ""forms"": {""noun"": {""singular"": ""air"", ""plural"": ""airs""}, ""verb"": {""base_form"": ""air"", ""third_person_singular"": ""airs"", ""past_tense"": ""aired"", ""past_participle"": ""aired"", ""present_participle"": ""airing""}}}"
A1,airport,"{""word"": ""airport"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A place where airplanes take off and land, and where passengers and cargo are handled."", ""chinese"": ""机场，飞机起飞和降落的地方，以及处理乘客和货物的地方。""}, ""example_sentences"": [{""english"": ""We arrived at the airport early."", ""chinese"": ""我们早早地到达了机场。""}, {""english"": ""The airport is very busy today."", ""chinese"": ""今天机场非常繁忙。""}]}], ""forms"": {""noun"": {""singular"": ""airport"", ""plural"": ""airports""}}}"
A1,all,"{""word"": ""all"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""used to refer to the whole quantity or extent of a particular group or thing"", ""chinese"": ""用于指代某一群体或事物的全部数量或范围""}, ""example_sentences"": [{""english"": ""All the children are excited about the trip."", ""chinese"": ""所有的孩子都对这次旅行感到兴奋。""}], ""synonyms"": [""every"", ""whole""], ""antonyms"": [""none"", ""nothing""]}, {""part_of_speech"": ""pronoun"", ""meaning"": {""english"": ""the whole number or amount of people or things"", ""chinese"": ""全部的人或事物""}, ""example_sentences"": [{""english"": ""All of us are going to the park."", ""chinese"": ""我们所有人都要去公园。""}]}, {""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""completely; to the greatest extent"", ""chinese"": ""完全地；达到最大程度""}, ""example_sentences"": [{""english"": ""She was all tired after the long walk."", ""chinese"": ""长时间的步行后，她完全累了。""}]}], ""forms"": {}}"
A1,also,"{""word"": ""also"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""In addition; too; as well"", ""chinese"": ""也；同样""}, ""example_sentences"": [{""english"": ""She likes apples, and she also likes oranges."", ""chinese"": ""她喜欢苹果，她也喜欢橙子。""}]}], ""forms"": {}}"
A1,always,"{""word"": ""always"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""At all times; on every occasion."", ""chinese"": ""总是；每次""}, ""example_sentences"": [{""english"": ""She always helps her friends."", ""chinese"": ""她总是帮助她的朋友。""}, {""english"": ""The sun always rises in the east."", ""chinese"": ""太阳总是从东方升起。""}], ""synonyms"": [""constantly"", ""forever""], ""antonyms"": [""never"", ""seldom""]}], ""forms"": {}}"
A1,amazing,"{""word"": ""amazing"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""very surprising or impressive"", ""chinese"": ""令人惊讶或印象深刻的""}, ""example_sentences"": [{""english"": ""The movie was amazing."", ""chinese"": ""这部电影非常棒。""}, {""english"": ""She has an amazing talent for drawing."", ""chinese"": ""她在绘画方面有惊人的天赋。""}], ""synonyms"": [""astonishing"", ""incredible""], ""antonyms"": [""ordinary"", ""common""]}]}"
A1,and,"{""word"": ""and"", ""definitions"": [{""part_of_speech"": ""other"", ""meaning"": {""english"": ""Used to connect words, phrases, or clauses that are the same kind or equal in importance."", ""chinese"": ""用于连接相同类型或同等重要性的词语、短语或从句。""}, ""example_sentences"": [{""english"": ""She likes apples and oranges."", ""chinese"": ""她喜欢苹果和橙子。""}, {""english"": ""He went to the store and bought some milk."", ""chinese"": ""他去了商店，买了一些牛奶。""}]}], ""forms"": {}}"
A1,angry,"{""word"": ""angry"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""feeling or showing strong annoyance, displeasure, or hostility; full of anger."", ""chinese"": ""生气的；愤怒的""}, ""example_sentences"": [{""english"": ""He got angry when he saw the broken window."", ""chinese"": ""他看到窗户破了，很生气。""}, {""english"": ""The angry dog barked loudly."", ""chinese"": ""那只生气的狗大声吠叫。""}], ""synonyms"": [""mad"", ""furious"", ""irritated""], ""antonyms"": [""happy"", ""calm"", ""content""]}], ""forms"": {}}"
A1,animal,"{""word"": ""animal"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A living organism that feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli."", ""chinese"": ""动物；兽类；牲畜""}, ""example_sentences"": [{""english"": ""The zoo has many different animals."", ""chinese"": ""动物园里有许多不同的动物。""}], ""synonyms"": [""creature"", ""beast""], ""antonyms"": [""plant""]}], ""forms"": {""noun"": {""singular"": ""animal"", ""plural"": ""animals""}}}"
A1,another,"{""word"": ""another"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""one more; a different one"", ""chinese"": ""又一个；不同的一个""}, ""example_sentences"": [{""english"": ""Can I have another cookie?"", ""chinese"": ""我可以再要一块饼干吗？""}, {""english"": ""Let's try another restaurant."", ""chinese"": ""我们试试另一家餐厅吧。""}]}], ""forms"": {}}"
A1,answer,"{""word"": ""answer"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A reply or response to a question, statement, or request."", ""chinese"": ""对问题、陈述或请求的回复或响应。""}, ""example_sentences"": [{""english"": ""She gave a quick answer to the teacher's question."", ""chinese"": ""她很快回答了老师的问题。""}], ""synonyms"": [""reply"", ""response""], ""antonyms"": [""question"", ""inquiry""]}, {""part_of_speech"": ""verb"", ""meaning"": {""english"": ""To say or write something in response to a question, statement, or request."", ""chinese"": ""对问题、陈述或请求进行口头或书面回应。""}, ""example_sentences"": [{""english"": ""He answered the phone when it rang."", ""chinese"": ""电话响时他接了电话。""}], ""synonyms"": [""respond"", ""reply""], ""antonyms"": [""ignore"", ""refuse""]}], ""forms"": {""noun"": {""singular"": ""answer"", ""plural"": ""answers""}, ""verb"": {""base_form"": ""answer"", ""third_person_singular"": ""answers"", ""past_tense"": ""answered"", ""past_participle"": ""answered"", ""present_participle"": ""answering""}}}"
A1,any,"{""word"": ""any"", ""definitions"": [{""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""used to refer to one or some of a thing or number of things, no matter how much or how many"", ""chinese"": ""用于指代一件事或一些事，无论多少""}, ""example_sentences"": [{""english"": ""Do you have any questions?"", ""chinese"": ""你有什么问题吗？""}], ""synonyms"": [""some""], ""antonyms"": [""none""]}, {""part_of_speech"": ""pronoun"", ""meaning"": {""english"": ""used to refer to one or more people or things from a definite set of people or things"", ""chinese"": ""用于指代一组明确的人或事物中的一个或多个""}, ""example_sentences"": [{""english"": ""Choose any book you like."", ""chinese"": ""选择你喜欢的任何一本书。""}]}], ""forms"": {}}"
A1,anyone,"{""word"": ""anyone"", ""definitions"": [{""part_of_speech"": ""pronoun"", ""meaning"": {""english"": ""any person at all"", ""chinese"": ""任何人""}, ""example_sentences"": [{""english"": ""Is there anyone who can help me?"", ""chinese"": ""有没有人能帮我？""}]}], ""forms"": {}}"
A1,anything,"{""word"": ""anything"", ""definitions"": [{""part_of_speech"": ""pronoun"", ""meaning"": {""english"": ""Any thing; any object, no matter what"", ""chinese"": ""任何事物；任何东西，无论什么""}, ""example_sentences"": [{""english"": ""Do you want anything to eat?"", ""chinese"": ""你想吃点什么吗？""}, {""english"": ""I can't find anything in this room."", ""chinese"": ""我在这个房间里找不到任何东西。""}]}], ""forms"": {}}"
A1,apartment,"{""word"": ""apartment"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A set of rooms for living in, usually on one floor of a building."", ""chinese"": ""一套房间，通常指位于建筑物一层的居住单元。""}, ""example_sentences"": [{""english"": ""She lives in a small apartment."", ""chinese"": ""她住在一个小公寓里。""}]}], ""forms"": {""noun"": {""singular"": ""apartment"", ""plural"": ""apartments""}}}"
A1,apple,"{""word"": ""apple"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A round fruit with red, yellow, or green skin and a white inside."", ""chinese"": ""一种圆形水果，有红色、黄色或绿色的皮，里面是白色的。""}, ""example_sentences"": [{""english"": ""I ate an apple for breakfast."", ""chinese"": ""我早餐吃了一个苹果。""}]}], ""forms"": {""noun"": {""singular"": ""apple"", ""plural"": ""apples""}}}"
A1,April,"{""word"": ""April"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The fourth month of the year"", ""chinese"": ""一年中的第四个月""}, ""example_sentences"": [{""english"": ""My birthday is in April."", ""chinese"": ""我的生日在四月。""}]}], ""forms"": {""noun"": {""singular"": ""April""}}}"
A1,area,"{""word"": ""area"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A part of a place or surface; a space"", ""chinese"": ""地方的一部分；区域""}, ""example_sentences"": [{""english"": ""The school is in a quiet area."", ""chinese"": ""学校在一个安静的区域。""}, {""english"": ""She lives in a small area near the park."", ""chinese"": ""她住在公园附近的一个小区域。""}], ""synonyms"": [""region"", ""zone""], ""antonyms"": [""point""]}], ""forms"": {""noun"": {""singular"": ""area"", ""plural"": ""areas""}}}"
A1,arm,"{""word"": ""arm"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""one of the two upper limbs of the human body from the shoulder to the hand"", ""chinese"": ""手臂""}, ""example_sentences"": [{""english"": ""She waved her arm to say goodbye."", ""chinese"": ""她挥动手臂说再见。""}]}, {""part_of_speech"": ""verb"", ""meaning"": {""english"": ""to equip with weapons"", ""chinese"": ""武装""}, ""example_sentences"": [{""english"": ""The soldiers were armed with guns."", ""chinese"": ""士兵们配备了枪支。""}]}], ""forms"": {""noun"": {""singular"": ""arm"", ""plural"": ""arms""}, ""verb"": {""base_form"": ""arm"", ""third_person_singular"": ""arms"", ""past_tense"": ""armed"", ""past_participle"": ""armed"", ""present_participle"": ""arming""}}}"
A1,around,"{""word"": ""around"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""In a circle or curve; on every side"", ""chinese"": ""围绕；在周围""}, ""example_sentences"": [{""english"": ""The children ran around the playground."", ""chinese"": ""孩子们在操场上跑来跑去。""}]}, {""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""On every side of; surrounding"", ""chinese"": ""在……周围；环绕""}, ""example_sentences"": [{""english"": ""She placed the flowers around the table."", ""chinese"": ""她把花放在桌子周围。""}]}], ""forms"": {}}"
A1,arrive,"{""word"": ""arrive"", ""definitions"": [{""part_of_speech"": ""verb"", ""meaning"": {""english"": ""to reach a place, especially at the end of a journey"", ""chinese"": ""到达，抵达（尤指旅程的终点）""}, ""example_sentences"": [{""english"": ""When will you arrive at the airport?"", ""chinese"": ""你什么时候到达机场？""}]}], ""forms"": {""verb"": {""base_form"": ""arrive"", ""third_person_singular"": ""arrives"", ""past_tense"": ""arrived"", ""past_participle"": ""arrived"", ""present_participle"": ""arriving""}}}"
A1,art,"{""word"": ""art"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""the expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power"", ""chinese"": ""艺术，美术；艺术作品；技艺，技术""}, ""example_sentences"": [{""english"": ""She studied art in college."", ""chinese"": ""她在大学里学习艺术。""}, {""english"": ""The museum has a great collection of modern art."", ""chinese"": ""这家博物馆收藏了大量现代艺术作品。""}], ""synonyms"": [""craft"", ""skill""], ""antonyms"": [""nature""]}], ""forms"": {""noun"": {""singular"": ""art"", ""plural"": ""arts""}}}"
A1,article,"{""word"": ""article"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a piece of writing included with others in a newspaper, magazine, or other publication"", ""chinese"": ""文章；论文""}, ""example_sentences"": [{""english"": ""She wrote an article about her trip to Japan."", ""chinese"": ""她写了一篇关于她日本之行的文章。""}]}, {""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a separate clause or paragraph in a legal document"", ""chinese"": ""条款；条文""}, ""example_sentences"": [{""english"": ""The contract has several important articles."", ""chinese"": ""合同中有几条重要的条款。""}]}], ""forms"": {""noun"": {""singular"": ""article"", ""plural"": ""articles""}}}"
A1,artist,"{""word"": ""artist"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a person who creates art, especially paintings or drawings"", ""chinese"": ""艺术家，尤指绘画或绘画的人""}, ""example_sentences"": [{""english"": ""She is a famous artist."", ""chinese"": ""她是一位著名的艺术家。""}, {""english"": ""The artist painted a beautiful picture."", ""chinese"": ""这位艺术家画了一幅美丽的画。""}], ""synonyms"": [""painter"", ""creator""], ""antonyms"": [""non-artist""]}], ""forms"": {""noun"": {""singular"": ""artist"", ""plural"": ""artists""}}}"
A1,as,"{""word"": ""as"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""used to say that something happens during the time when something else is happening"", ""chinese"": ""用于表示某事发生的同时另一件事也在发生""}, ""example_sentences"": [{""english"": ""She sings as she cooks."", ""chinese"": ""她一边做饭一边唱歌。""}]}, {""part_of_speech"": ""conjunction"", ""meaning"": {""english"": ""used to show that something happens at the same time as something else"", ""chinese"": ""用于表示某事与另一件事同时发生""}, ""example_sentences"": [{""english"": ""As the sun set, the sky turned pink."", ""chinese"": ""太阳落山时，天空变成了粉红色。""}]}, {""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""used to compare two things"", ""chinese"": ""用于比较两件事物""}, ""example_sentences"": [{""english"": ""She is as tall as her brother."", ""chinese"": ""她和她哥哥一样高。""}]}], ""forms"": {}}"
A1,ask,"{""word"": ""ask"", ""definitions"": [{""part_of_speech"": ""verb"", ""meaning"": {""english"": ""to say something in order to get an answer or information"", ""chinese"": ""询问，请求""}, ""example_sentences"": [{""english"": ""Can you ask him where he is?"", ""chinese"": ""你能问问他现在在哪里吗？""}, {""english"": ""She asked for help."", ""chinese"": ""她请求帮助。""}], ""synonyms"": [""inquire"", ""request""], ""antonyms"": [""answer"", ""tell""]}], ""forms"": {""verb"": {""base_form"": ""ask"", ""third_person_singular"": ""asks"", ""past_tense"": ""asked"", ""past_participle"": ""asked"", ""present_participle"": ""asking""}}}"
A1,at,"{""word"": ""at"", ""definitions"": [{""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""used to show an exact position or particular place"", ""chinese"": ""用于表示确切的位置或特定地点""}, ""example_sentences"": [{""english"": ""She is waiting at the bus stop."", ""chinese"": ""她在公交车站等车。""}]}], ""forms"": {}}"
A1,August,"{""word"": ""August"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The eighth month of the year"", ""chinese"": ""八月""}, ""example_sentences"": [{""english"": ""My birthday is in August."", ""chinese"": ""我的生日在八月。""}]}], ""forms"": {""noun"": {""singular"": ""August"", ""plural"": ""Augusts""}}}"
A1,aunt,"{""word"": ""aunt"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The sister of one's parent or the wife of one's uncle."", ""chinese"": ""姑母；姨母；伯母；婶母；舅母""}, ""example_sentences"": [{""english"": ""My aunt gave me a book for my birthday."", ""chinese"": ""我姑母送了我一本书作为生日礼物。""}]}], ""forms"": {""noun"": {""singular"": ""aunt"", ""plural"": ""aunts""}}}"
A1,autumn,"{""word"": ""autumn"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The season after summer and before winter, when leaves fall from trees and the weather becomes cooler."", ""chinese"": ""秋季，秋天；夏冬之间的季节，树叶落下，天气变凉。""}, ""example_sentences"": [{""english"": ""Autumn is my favorite season."", ""chinese"": ""秋天是我最喜欢的季节。""}, {""english"": ""The leaves turn yellow in autumn."", ""chinese"": ""秋天树叶变黄。""}]}], ""forms"": {""noun"": {""singular"": ""autumn"", ""plural"": ""autumns""}}}"
A1,away,"{""word"": ""away"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""to or at a distance from a particular place, person, or thing"", ""chinese"": ""离开，远离""}, ""example_sentences"": [{""english"": ""The cat ran away from home."", ""chinese"": ""猫从家里跑出去了。""}, {""english"": ""She threw the ball away."", ""chinese"": ""她把球扔掉了。""}]}]}"
A1,baby,"{""word"": ""baby"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a very young child"", ""chinese"": ""婴儿""}, ""example_sentences"": [{""english"": ""She held the baby gently."", ""chinese"": ""她轻轻地抱着婴儿。""}]}], ""forms"": {""noun"": {""singular"": ""baby"", ""plural"": ""babies""}}}"
